"データID","FRPリスト名","型式確認","品番","図番"
"zcrm_7345477000025727894","CRKURC-12C-5.15","CRKURC-12C-5.15","030713000","CKU04-No18B"
"zcrm_7345477000025727983","CRKURCT-17C-5.15","CRKURCT-17C-5.15","031139000","CKU06-No18B"
"zcrm_7345477000025727080","CRKURT-17C-5.25S","CRKURT-17C-5.25S","021608000","CKU15-No07C"
"zcrm_7345477000025728082","CRKUSR-12B-5.15","CRKUSR-12B-5.15","031249000","CKU01-No18B"
"zcrm_7345477000025728148","CRKUSRC-12B-5.15","CRKUSRC-12B-5.15","031331000","CKU02-No18B"
"zcrm_7345477000010940135","FRPタンク（槽のみ）　縦型","CRK50-12E","026111000","CK01-No36A"
"zcrm_7345477000025727713","CRKUF-15C-5.25","CRKUF-15C-5.25","030045000","CKU13-No43B"
"zcrm_7345477000025727757","CRKUFC-15C-5.25","CRKUFC-15C-5.25","030340000","CKU14-No43B"
"zcrm_7345477000025727803","CRKUFCT-26D-5.25","CRKUFCT-26D-5.25","030514000","CKU16-No42B"
"zcrm_7345477000025727839","CRKUFT-26D-5.25","CRKUFT-26D-5.25","030558000","CKU15-No42B"
"zcrm_7345477000025677903","CRKUR-15C-5.25S","CRKUR-15C-5.25S","021291000","CKU13-No07C"
"zcrm_7345477000025727895","CRKURC-15C-5.15","CRKURC-15C-5.15","030714000","CKU04-No19B"
"zcrm_7345477000025727984","CRKURCT-18C-5.15","CRKURCT-18C-5.15","031140000","CKU06-No19B"
"zcrm_7345477000025727081","CRKURT-18C-5.25S","CRKURT-18C-5.25S","021610000","CKU15-No08C"
"zcrm_7345477000025728083","CRKUSR-15B-5.15","CRKUSR-15B-5.15","031250000","CKU01-No19B"
"zcrm_7345477000025728149","CRKUSRC-15B-5.15","CRKUSRC-15B-5.15","031332000","CKU02-No19B"
"zcrm_7345477000010940109","FRPタンク（槽のみ）　縦型","CRK50-15B","026112000","CK01-No07A"
"zcrm_7345477000025727714","CRKUF-17C-5.25","CRKUF-17C-5.25","030059000","CKU13-No44B"
"zcrm_7345477000025727758","CRKUFC-17C-5.25","CRKUFC-17C-5.25","030365000","CKU14-No44B"
"zcrm_7345477000025727433","CRKUFCT-06D-5.4S","CRKUFCT-06D-5.4S","022356000","CKU26-No23B"
"zcrm_7345477000025727379","CRKUFT-06D-5.4S","CRKUFT-06D-5.4S","022273000","CKU25-No23B"
"zcrm_7345477000025677904","CRKUR-17C-5.25S","CRKUR-17C-5.25S","021293000","CKU13-No08C"
"zcrm_7345477000025727896","CRKURC-17C-5.15","CRKURC-17C-5.15","030715000","CKU04-No20B"
"zcrm_7345477000025727985","CRKURCT-22C-5.15","CRKURCT-22C-5.15","031142000","CKU06-No21B"
"zcrm_7345477000025727082","CRKURT-22C-5.25S","CRKURT-22C-5.25S","021612000","CKU15-No10C"
"zcrm_7345477000025728084","CRKUSR-17B-5.15","CRKUSR-17B-5.15","031251000","CKU01-No20B"
"zcrm_7345477000025728150","CRKUSRC-17B-5.15","CRKUSRC-17B-5.15","031333000","CKU02-No20B"
"zcrm_7345477000010940120","FRPタンク（槽のみ）　縦型","CRK50-15C","026113000","CK01-No19A"
"zcrm_7345477000025727715","CRKUF-18C-5.25","CRKUF-18C-5.25","030065000","CKU13-No45B"
"zcrm_7345477000025727759","CRKUFC-18C-5.25","CRKUFC-18C-5.25","030366000","CKU14-No45B"
"zcrm_7345477000025727434","CRKUFCT-07D-5.4S","CRKUFCT-07D-5.4S","022357000","CKU26-No24B"
"zcrm_7345477000025727380","CRKUFT-07D-5.4S","CRKUFT-07D-5.4S","022274000","CKU25-No24B"
"zcrm_7345477000025677905","CRKUR-18C-5.25S","CRKUR-18C-5.25S","021294000","CKU13-No09C"
"zcrm_7345477000025727897","CRKURC-18C-5.15","CRKURC-18C-5.15","030716000","CKU04-No21B"
"zcrm_7345477000025727986","CRKURCT-26C-5.15","CRKURCT-26C-5.15","031143000","CKU06-No22B"
"zcrm_7345477000025727083","CRKURT-26C-5.25S","CRKURT-26C-5.25S","021613000","CKU15-No11C"
"zcrm_7345477000025728085","CRKUSR-18B-5.15","CRKUSR-18B-5.15","031252000","CKU01-No21B"
"zcrm_7345477000025728151","CRKUSRC-18B-5.15","CRKUSRC-18B-5.15","031334000","CKU02-No21B"
